"Date","Open","High","Low","Close","Volume"
"Dec 30, 2022","4,870.00","4,950.00","4,870.00","4,940.00","182,091,500"
"Dec 29, 2022","4,820.00","4,870.00","4,800.00","4,870.00","106,690,700"
"Dec 28, 2022","4,870.00","4,880.00","4,810.00","4,820.00","117,912,500"
"Dec 27, 2022","4,930.00","4,950.00","4,860.00","4,870.00","74,123,800"
"Dec 26, 2022","4,900.00","4,930.00","4,890.00","4,930.00","43,581,100"
"Dec 23, 2022","4,920.00","4,940.00","4,880.00","4,880.00","53,350,600"
"Dec 22, 2022","4,910.00","4,970.00","4,900.00","4,960.00","87,321,400"
"Dec 21, 2022","4,910.00","4,940.00","4,870.00","4,890.00","71,277,800"
"Dec 20, 2022","4,930.00","4,970.00","4,890.00","4,910.00","78,671,600"
"Dec 19, 2022","4,970.00","4,980.00","4,920.00","4,970.00","82,959,800"
"Dec 16, 2022","4,820.00","4,980.00","4,820.00","4,980.00","594,601,900"
"Dec 15, 2022","4,900.00","4,940.00","4,880.00","4,910.00","170,702,300"
"Dec 14, 2022","5,000.00","5,000.00","4,870.00","4,980.00","201,275,800"
"Dec 13, 2022","4,870.00","4,980.00","4,840.00","4,970.00","194,233,200"
"Dec 12, 2022","4,800.00","4,850.00","4,760.00","4,850.00","139,582,400"
"Dec 9, 2022","4,830.00","4,840.00","4,760.00","4,800.00","203,573,100"
"Dec 8, 2022","4,760.00","4,840.00","4,710.00","4,840.00","154,313,900"
"Dec 7, 2022","4,840.00","4,840.00","4,740.00","4,760.00","253,330,100"
"Dec 6, 2022","4,860.00","4,890.00","4,800.00","4,860.00","151,325,300"
"Dec 5, 2022","4,910.00","4,930.00","4,860.00","4,890.00","88,463,000"
"Dec 2, 2022","4,900.00","4,930.00","4,860.00","4,890.00","199,981,400"
"Dec 1, 2022","5,000.00","5,025.00","4,900.00","4,940.00","267,382,600"
"Nov 30, 2022","4,810.00","4,980.00","4,800.00","4,980.00","560,639,800"
"Nov 29, 2022","4,820.00","4,860.00","4,790.00","4,850.00","184,916,300"
"Nov 28, 2022","4,730.00","4,830.00","4,730.00","4,820.00","214,611,600"
"Nov 25, 2022","4,700.00","4,750.00","4,690.00","4,750.00","177,861,100"
"Nov 24, 2022","4,700.00","4,740.00","4,670.00","4,720.00","156,735,700"
"Nov 23, 2022","4,640.00","4,670.00","4,630.00","4,670.00","147,280,600"
"Nov 22, 2022","4,570.00","4,670.00","4,570.00","4,590.00","154,866,000"
"Nov 21, 2022","4,620.00","4,630.00","4,560.00","4,590.00","82,279,300"
"Nov 18, 2022","4,670.00","4,680.00","4,610.00","4,610.00","105,313,200"
"Nov 17, 2022","4,520.00","4,670.00","4,500.00","4,670.00","214,514,600"
"Nov 16, 2022","4,590.00","4,610.00","4,490.00","4,520.00","245,789,200"
"Nov 15, 2022","4,580.00","4,610.00","4,560.00","4,580.00","87,986,300"
"Nov 14, 2022","4,620.00","4,640.00","4,550.00","4,580.00","140,187,600"
"Nov 11, 2022","4,620.00","4,650.00","4,590.00","4,650.00","153,238,500"
"Nov 10, 2022","4,560.00","4,580.00","4,520.00","4,530.00","196,277,400"
"Nov 9, 2022","4,600.00","4,650.00","4,600.00","4,650.00","126,493,900"
"Nov 8, 2022","4,690.00","4,690.00","4,610.00","4,620.00","80,916,300"
"Nov 7, 2022","4,650.00","4,690.00","4,610.00","4,690.00","112,070,500"
"Nov 4, 2022","4,650.00","4,660.00","4,610.00","4,650.00","85,292,300"
"Nov 3, 2022","4,630.00","4,660.00","4,590.00","4,650.00","174,423,000"
"Nov 2, 2022","4,680.00","4,680.00","4,570.00","4,610.00","163,816,900"
"Nov 1, 2022","4,690.00","4,700.00","4,630.00","4,660.00","230,590,200"
"Oct 31, 2022","4,630.00","4,680.00","4,630.00","4,650.00","275,184,000"
"Oct 28, 2022","4,600.00","4,630.00","4,560.00","4,630.00","227,256,400"
"Oct 27, 2022","4,550.00","4,600.00","4,530.00","4,600.00","131,385,300"
"Oct 26, 2022","4,600.00","4,610.00","4,500.00","4,530.00","178,298,500"
